S.N.,Date,Open,High,Low,Ltp,% Change,Qty,Turnover
1,2025-02-27,298.90,310.00,297.00,303.00,3.38,"72,598.00","21,975,153.20"
2,2025-02-25,295.50,297.80,292.00,293.10,-0.27,"36,537.00","10,756,621.50"
3,2025-02-24,292.00,299.00,292.00,293.90,-0.03,"31,364.00","9,243,592.20"
4,2025-02-23,290.10,299.00,285.00,294.00,-0.68,"54,840.00","16,102,961.80"
5,2025-02-20,300.00,300.00,295.00,296.00,-1.33,"41,190.00","12,208,324.30"
6,2025-02-18,298.00,301.90,296.00,300.00,1.69,"61,491.00","18,437,745.50"
7,2025-02-17,292.00,300.90,289.50,295.00,1.24,"70,893.00","20,876,768.90"
8,2025-02-16,293.00,295.00,289.30,291.40,-0.58,"30,069.00","8,740,886.80"
9,2025-02-13,295.30,295.30,290.10,293.10,0.55,"21,247.00","6,206,659.80"
10,2025-02-12,291.00,295.00,290.60,291.50,-0.10,"24,571.00","7,168,466.70"
11,2025-02-11,295.00,295.00,290.10,291.80,-1.08,"13,397.00","3,910,760.50"
12,2025-02-10,293.50,296.00,293.10,295.00,0.00,"16,601.00","4,874,477.00"
13,2025-02-09,298.00,301.00,293.20,295.00,-1.01,"22,682.00","6,712,938.70"
14,2025-02-06,297.00,302.00,296.70,298.00,0.27,"39,334.00","11,756,797.00"
15,2025-02-05,296.00,299.00,295.00,297.20,0.07,"27,079.00","8,045,263.80"
16,2025-02-04,300.00,304.90,297.00,297.00,-0.67,"51,668.00","15,563,801.00"
17,2025-02-03,296.00,303.90,296.00,299.00,1.39,"49,607.00","14,874,076.60"
18,2025-02-02,288.00,295.00,286.00,294.90,3.11,"53,452.00","15,597,732.30"
19,2025-01-28,285.00,287.00,281.10,286.00,0.88,"27,911.00","7,954,617.20"
20,2025-01-27,287.00,287.00,283.00,283.50,-1.43,"23,094.00","6,572,040.20"
21,2025-01-26,290.00,292.70,283.30,287.60,-0.48,"43,687.00","12,571,731.80"
22,2025-01-23,287.50,290.00,285.00,289.00,1.76,"40,746.00","11,768,404.10"
23,2025-01-22,281.00,284.90,280.50,284.00,1.07,"36,936.00","10,429,877.60"
